UID	11RosaH	12RosaH	14RosaF	16RosaF	17Rosa-	18Rosa-	8RosaH	9RosaH	CAG-14914	CAG-14915	CMP	GMP	Gfi1.Null	Irf8.Null	LSK
Il10	0.201633861	0.910732662	0	0.344828497	0	0.275007047	0	0	0.263034406	0.378511623	0.084064265	0.097610797	0	0	0
Il10ra	1.933572638	2.438292852	3.092545742	2.788685711	5.207892852	3.933572638	3.885574364	3.331991778	4.73714592	3.524815928	2.59454855	2.885574364	2.95419631	2.107687869	4.545350645
Il10rb	4.315421316	3.749534268	4.307428525	3.724650272	4.635754391	3.921245889	4.489286023	3.887525271	4.918863237	4.196921734	5.469560422	5.599020177	5.665051614	5.601102203	6.493775408
Il11	0.695993813	0.22650853	0	0	0.464668267	0.201633861	0	0	0	0	0.263034406	0.070389328	0.137503524	0.042644337	0.411426246
Il11ra1	4.120186028	3.772941338	3.160274831	4.014355293	3.150559677	4.093391153	3.607626221	3.639232163	3.382667253	3.773996325	5.490890979	5.201241771	5.040015679	5.6794801	5.517590658
Il11ra2	0.111031312	0.097610797	0.042644337	0.056583528	0	0.298658316	0	0	0	0.111031312	0	0.056583528	0	0.111031312	0.163498732
Il12a	4.019701914	3.653060017	3.35614381	3.994579724	2.381283373	4.877253454	1.469885976	3.412781525	2.44625623	4.833902077	4.473786912	4.680886921	3.699329526	5.365972428	6.831623937
Il12b	0	0	0	0	0	0.176322773	0	0	0	0	0	0	0	0	0
Il12rb1	0.765534746	1.422233001	2.056583528	1.40599236	0.757023247	1.765534746	1.244887059	1.794935663	0.22650853	1.778208576	0.704871964	1.214124805	0.839959587	0.98550043	3.869871406
Il12rb2	4.027684877	4.008092421	4.20867332	3.771885579	4.691534165	3.86393845	4.42693562	4.455491621	5.156234798	4.277240898	2.192194165	2.301587647	1.084064265	0.713695815	4.28169825
Il13	0	0	0	0	0	0	0	0	0	0.98550043	0	0	0	0	0
Il13ra1	0.659924558	0.748461233	1.454175893	0.176322773	4.71918344	1.014355293	2.464668267	0.704871964	4.720825666	2.767654798	0.286881148	0.298658316	1.682573297	0.137503524	0.765534746
Il13ra2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il15	2.827819025	2.678071905	3.895302621	2.833902077	4.489928219	4.381975479	3	2.533563348	3.596935142	3.50589093	4.062639828	4.025028794	4.22342255	4.093391153	5.584962501
Il15ra	4.061776198	4.462052319	4.118525849	4.246408087	3.897240426	4.503348735	4.010779839	4.372255648	3.641546029	4.308156975	4.181102551	4.325530332	4.017921908	4.736063628	4.477677328
Il16	3.935459748	3.187451054	4.047887329	3.435628594	4.402585758	4.145677455	3.901108243	3.90303827	4.145677455	3.99004722	5.28503225	5.416839742	5.113117036	5.157447996	6.451211112
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17c	0	0.378511623	0	0	0	0	0	0.422233001	0	0	0.163498732	0	0	0	0
Il17d	0	0	0	0	0	0	0	0	0	0	0	0.097610797	0.137503524	0.070389328	0
Il17f	0	0.516015147	0	0	0	0	0	0	0	0	0	0.111031312	0.070389328	0.298658316	0.378511623
Il17ra	5.197314999	5.033863452	5.614709844	5.207111961	8.016139703	6.610286657	6.71259578	5.459759467	7.945677926	6.723285505	5.178714641	5.473786912	5.082787732	5.334854269	7.097610797
